name,distance_km,moving_time,elevation_m,average_speed_kmh,sport_type,date,speed_range,level,elev_norm,dist_norm,speed_norm,difficulty_score
High viz long sleeve yay ,64.68,129.98,356.0,29.85,Ride,2023-05-19 07:48:06,20–30 km/h,Intermediate,0.21601941747572814,0.40057029506570796,0.5713143161823514,0.34244366049404673
took it chill then tried to get sautéed last half ,67.59,121.9,189.0,33.27,Ride,2023-05-13 07:30:48,> 30 km/h,Advanced,0.11468446601941748,0.4186089759484255,0.6624900026659558,0.3154229263274275
rush hour riding = two thumbs down ,58.06,122.03,476.0,28.55,Ride,2023-05-03 07:42:29,20–30 km/h,Intermediate,0.28883495145631066,0.3595338457723779,0.5366568914956013,0.35960900775898896
Chill bill vol 3,33.07,80.78,252.0,24.57,Ride,2023-04-29 07:38:15,20–30 km/h,Intermediate,0.1529126213592233,0.20462434911976196,0.43055185283924285,0.22395398598338884
Mystical Friday ,76.23,160.13,688.0,28.57,Ride,2023-04-28 07:43:41,20–30 km/h,Intermediate,0.4174757281553398,0.47216712124969007,0.5371900826446281,0.4578260169815025
EVCH_LOOP,36.6,70.72,120.0,31.04,Ride,2023-04-23 08:12:36,> 30 km/h,Advanced,0.07281553398058252,0.22650632283659808,0.6030391895494535,0.22496750175116137
Morning Ride,0.13,0.65,5.0,11.8,Ride,2023-04-15 08:39:57,< 20 km/h,Beginner,0.003033980582524272,0.00043392015869080097,0.09010930418555055,0.019669027175979487
TT to F-town ,50.81,91.45,302.0,33.33,Ride,2023-04-15 07:01:03,> 30 km/h,Advanced,0.18325242718446602,0.3145921150508307,0.6640895761130364,0.3188217633300895
1975,31.78,60.77,102.0,31.38,Ride,2023-04-05 08:02:27,> 30 km/h,Advanced,0.061893203883495146,0.1966278204810315,0.6121034390829113,0.21235563590263928
Chiwah b4 mx ,56.62,123.17,530.0,27.58,Ride,2023-03-28 08:34:55,20–30 km/h,Intermediate,0.32160194174757284,0.3506074882221671,0.5107971207677952,0.3681426414939956
He has an e bike ,10.67,37.5,227.0,17.06,Ride,2023-03-27 17:31:35,< 20 km/h,Beginner,0.13774271844660194,0.06576989833870568,0.23033857637963207,0.1346700440008391
Morning Ride,0.72,2.05,0.0,21.11,Ride,2023-03-25 10:21:13,20–30 km/h,Intermediate,0.0,0.004091247210513265,0.33830978405758466,0.06888933097467091
careless whisper ,64.49,125.03,376.0,30.95,Ride,2023-03-25 08:09:33,> 30 km/h,Advanced,0.22815533980582525,0.39939251177783286,0.6006398293788324,0.3540233893120289
I miss the sun,29.18,60.93,156.0,28.73,Ride,2023-03-18 07:00:40,20–30 km/h,Intermediate,0.09466019417475728,0.18051078601537318,0.5414556118368435,0.2097744552593593
Green Day ,61.24,137.67,723.0,26.68,Ride,2023-02-26 08:22:31,20–30 km/h,Intermediate,0.4387135922330097,0.37924621869576,0.48680351906158353,0.4304913655375496
Rodeo circle ,82.51,166.93,732.0,29.66,Ride,2023-02-17 07:35:59,20–30 km/h,Intermediate,0.4441747572815534,0.5110959583436648,0.5662490002665956,0.4886659661971953
CD,1.92,4.9,1.0,23.54,Ride,2023-02-04 10:42:53,20–30 km/h,Intermediate,0.0006067961165048543,0.011529878502355565,0.4030925086643562,0.08438086334183034
rodeo circle ,81.66,157.45,741.0,31.12,Ride,2023-02-04 07:07:20,> 30 km/h,Advanced,0.4496359223300971,0.5058269278452765,0.6051719541455612,0.49760043034774376
Laptop restart ,5.63,13.18,0.0,25.64,Ride,2023-02-02 12:31:43,20–30 km/h,Intermediate,0.0,0.034527646912968016,0.4590775793121834,0.1021738099363271
w/ the council ,69.6,122.43,172.0,34.12,Ride,2023-01-27 07:31:23,> 30 km/h,Advanced,0.10436893203883495,0.43106868336226134,0.6851506264996,0.31853519632801586
Chill MCC,54.65,130.15,319.0,25.2,Ride,2023-01-21 09:47:29,20–30 km/h,Intermediate,0.19356796116504854,0.338395735184726,0.4473473740335911,0.2877721759446603
Morning Ride,0.95,2.63,0.0,21.73,Ride,2023-01-14 09:59:58,20–30 km/h,Intermediate,0.0,0.005516984874783039,0.3548387096774194,0.07262283739791878
As planned 🌦️,67.66,128.33,388.0,31.62,Ride,2023-01-14 07:33:20,> 30 km/h,Advanced,0.2354368932038835,0.41904289610711626,0.6185017328712344,0.3671316620083235
Afternoon Ride,9.82,49.4,41.0,11.93,Ride,2023-01-11 15:09:02,< 20 km/h,Beginner,0.02487864077669903,0.060500867840317385,0.09357504665422554,0.049304590071289844
Morning Ride,3.77,9.43,11.0,23.98,Ride,2023-01-09 10:04:36,20–30 km/h,Intermediate,0.006674757281553398,0.02299776841061245,0.41482271394294856,0.09320125195255016
Woke up and chose cardiac violence ,34.15,60.35,100.0,33.94,Ride,2023-01-09 08:57:02,> 30 km/h,Advanced,0.06067961165048544,0.21131911728242003,0.6803519061583577,0.2298059222416403
Feeling mad frail ,43.48,90.73,412.0,28.76,Ride,2023-01-06 10:12:32,20–30 km/h,Intermediate,0.25,0.2691544755764939,0.5422553985603841,0.314197422385025
Lunch Ride,1.29,3.0,0.0,25.75,Ride,2022-12-28 11:02:37,20–30 km/h,Intermediate,0.0,0.007624597074138359,0.4620101306318315,0.0946894052486078
moral support ,69.57,176.05,1155.0,23.71,Ride,2022-12-23 08:34:31,20–30 km/h,Intermediate,0.7008495145631068,0.43088271757996527,0.40762463343108507,0.56121449924176
Fam ride,66.27,148.22,364.0,26.83,Ride,2022-12-17 08:06:34,20–30 km/h,Intermediate,0.220873786407767,0.4104264815273989,0.49080245267928546,0.3317253281979603
Slugged up Skyline ,56.71,152.58,1087.0,22.31,Ride,2022-12-10 08:36:36,20–30 km/h,Intermediate,0.6595873786407767,0.3511653855690553,0.3703012529992002,0.509203555590945
Lunch Ride,0.64,1.7,0.0,22.47,Ride,2022-12-03 11:36:23,20–30 km/h,Intermediate,0.0,0.0035953384577237795,0.3745667821914156,0.07599195797560025
Rodeo Circle,85.89,173.12,771.0,29.77,Ride,2022-12-03 07:57:59,20–30 km/h,Intermediate,0.4678398058252427,0.5320481031490206,0.5691815515862437,0.5073706441745762
Ninja turtle ,29.72,65.97,91.0,27.04,Ride,2022-11-27 06:51:44,20–30 km/h,Intermediate,0.05521844660194175,0.18385817009670222,0.4964009597440682,0.18204686627879518
Heart and lungs said 🥴,65.26,126.92,646.0,30.85,Ride,2022-11-26 08:35:53,> 30 km/h,Advanced,0.3919902912621359,0.4041656335234317,0.5979738736336977,0.436839610414837
Morning Ride,1.27,4.32,24.0,17.73,Ride,2022-11-24 07:28:49,< 20 km/h,Beginner,0.014563106796116505,0.007500619885940987,0.24820047987203414,0.05917183533824738
Family ride <3 ,27.41,73.67,272.0,22.32,Ride,2022-11-12 09:30:18,20–30 km/h,Intermediate,0.1650485436893204,0.1695388048599058,0.3705678485737137,0.2074994830173747
Afternoon Ride,38.48,81.23,343.0,28.42,Ride,2022-11-11 15:08:15,20–30 km/h,Intermediate,0.20813106796116504,0.238160178527151,0.5331911490269262,0.28215181734411304
Crispy spicy nippy morning  ,75.17,146.73,535.0,30.74,Ride,2022-11-05 08:07:37,> 30 km/h,Advanced,0.3246359223300971,0.4655963302752294,0.5950413223140496,0.4210051247104273
Evening Ride,3.48,8.23,3.0,25.33,Ride,2022-10-30 18:10:45,20–30 km/h,Intermediate,0.0018203883495145632,0.02120009918175056,0.450813116502266,0.09743284722973566
Evening outing ,29.45,56.38,151.0,31.33,Ride,2022-10-30 17:07:50,> 30 km/h,Advanced,0.09162621359223301,0.1821844780560377,0.6107704612103438,0.22262254245499657
With Kohl ,57.71,137.35,529.0,25.22,Ride,2022-10-28 07:17:24,20–30 km/h,Intermediate,0.32099514563106796,0.3573642449789239,0.44788056518261793,0.35728295934573473
Burger Day ,95.02,166.73,221.0,34.18,Ride,2022-10-22 07:30:34,> 30 km/h,Advanced,0.1341019417475728,0.5886436895611208,0.6867501999466809,0.38099411773145886
Morning Ride,2.16,4.95,4.0,26.1,Ride,2022-10-16 10:32:38,20–30 km/h,Intermediate,0.0024271844660194173,0.013017604760724028,0.4713409757398027,0.09938706880918746
Sometimes chillin sometimes villain ,31.29,60.07,223.0,31.25,Ride,2022-10-16 09:26:13,> 30 km/h,Advanced,0.13531553398058252,0.1935903793701959,0.6086376966142362,0.24746242012419728
OOBER ,61.15,133.95,136.0,27.39,Ride,2022-10-08 06:49:42,20–30 km/h,Intermediate,0.0825242718446602,0.3786883213488718,0.5057318048520395,0.2560149932973995
Evening Ride,4.92,23.4,20.0,12.62,Ride,2022-10-05 18:28:26,< 20 km/h,Beginner,0.012135922330097087,0.03012645673196132,0.11197014129565448,0.03749992644376784
With pawpaw,11.89,54.58,207.0,13.07,Ride,2022-10-04 17:32:26,< 20 km/h,Beginner,0.12560679611650485,0.07333250681874535,0.12396694214876035,0.10959653853362811
‘Twas a noodle y morning ,65.37,131.23,691.0,29.89,Ride,2022-10-01 07:03:57,20–30 km/h,Intermediate,0.4192961165048544,0.40484750805851727,0.5723806984804052,0.4455784503660634
Morning Ride,1.67,4.37,8.0,22.9,Ride,2022-09-17 09:34:32,20–30 km/h,Intermediate,0.0048543689320388345,0.00998016364988842,0.38603039189549454,0.08262731194008485
RODEO CIRCLE ,80.63,158.18,697.0,30.58,Ride,2022-09-17 06:25:24,> 30 km/h,Advanced,0.4229368932038835,0.4994421026531118,0.5907757931218341,0.47945623602224213
Morning Ride,2.43,5.48,4.0,26.52,Ride,2022-09-10 07:19:03,20–30 km/h,Intermediate,0.0024271844660194173,0.014691296801388545,0.48253798986936824,0.10212857924729993
Time is enemy ,35.73,63.13,119.0,33.96,Ride,2022-09-10 06:12:38,> 30 km/h,Advanced,0.07220873786407767,0.22111331515001237,0.6808850973073847,0.23861538293851947
Extra Sunscreen ,59.32,129.58,626.0,27.47,Ride,2022-09-03 07:20:25,20–30 km/h,Intermediate,0.37985436893203883,0.3673444086288123,0.5078645694481471,0.4017034209442925
999,50.02,101.0,371.0,29.72,Ride,2022-08-27 06:38:46,20–30 km/h,Intermediate,0.22512135922330098,0.3096950161170345,0.5678485737136763,0.3190388991894961
Morning Ride,28.6,61.52,98.0,27.89,Ride,2022-08-21 08:57:23,20–30 km/h,Intermediate,0.05946601941747573,0.17691544755764943,0.5190615835777126,0.18661996069157522
Morning Ride,64.47,109.33,159.0,35.37,Ride,2022-08-12 07:54:09,> 30 km/h,Advanced,0.09648058252427184,0.3992685345896355,0.7184750733137829,0.31171586630178316
Afternoon Ride,0.16,1.0,0.0,9.66,Ride,2022-08-05 14:00:36,< 20 km/h,Beginner,0.0,0.0006198859409868585,0.03305785123966943,0.006797536030229943
Lunch Ride,2.14,5.0,0.0,25.75,Ride,2022-07-30 11:29:54,20–30 km/h,Intermediate,0.0,0.012893627572526656,0.4620101306318315,0.0962701143981243
High vis ,92.34,171.62,301.0,32.28,Ride,2022-07-30 07:24:24,> 30 km/h,Advanced,0.18264563106796117,0.5720307463426729,0.6360970407891229,0.39015144759460707
Morning Ride,71.66,152.72,1038.0,28.16,Ride,2022-07-22 07:35:44,20–30 km/h,Intermediate,0.6298543689320388,0.4438383337465906,0.5262596640895761,0.5533306174079118
It was Destiny ,32.41,62.43,156.0,31.14,Ride,2022-07-20 08:30:15,> 30 km/h,Advanced,0.09466019417475728,0.20053310190924867,0.6057051452945881,0.22863105671907086
Morning Ride,1.32,3.35,1.0,23.71,Ride,2022-07-20 08:00:02,20–30 km/h,Intermediate,0.0006067961165048543,0.0078105628564344165,0.40762463343108507,0.08417149360139978
Morning Ride,67.82,155.42,837.0,26.18,Ride,2022-07-15 06:37:41,20–30 km/h,Intermediate,0.5078883495145631,0.42003471361269523,0.4734737403359104,0.4746493369082722
Morning Stroll ,30.96,66.68,73.0,27.86,Ride,2022-07-12 07:40:38,20–30 km/h,Intermediate,0.04429611650485437,0.19154475576493926,0.5182617968541722,0.1832638443527434
Morning Ride,85.12,172.77,622.0,29.56,Ride,2022-07-09 06:30:20,20–30 km/h,Intermediate,0.3774271844660194,0.5272749814034218,0.563583044521461,0.45961269555832845
"Intervals for breakfast, dirt for dinner ",32.48,95.52,532.0,20.41,Ride,2022-07-06 17:53:47,20–30 km/h,Intermediate,0.32281553398058255,0.20096702206793948,0.3196480938416423,0.2856274923790016
Evening Ride,3.54,19.93,15.0,10.65,Ride,2022-07-04 19:32:17,< 20 km/h,Beginner,0.009101941747572815,0.021572030746342674,0.05945081311650228,0.022912742720989664
making space ,75.16,157.67,614.0,28.6,Ride,2022-07-04 07:28:52,20–30 km/h,Intermediate,0.3725728155339806,0.46553434168113067,0.5379898693681685,0.43354468414496317
Mav Ride,69.99,127.35,155.0,32.98,Ride,2022-07-01 07:46:32,> 30 km/h,Advanced,0.09405339805825243,0.43348623853211005,0.6547587310050652,0.30802431678977227
Morning Ride ,60.5,147.47,863.0,24.61,Ride,2022-06-17 07:32:20,20–30 km/h,Intermediate,0.5236650485436893,0.37465906273245725,0.4316182351372967,0.46055389011904113
Morning Ride,91.12,183.63,546.0,29.77,Ride,2022-06-04 06:27:24,20–30 km/h,Intermediate,0.3313106796116505,0.5644681378626333,0.5691815515862437,0.448832091481864
Morning Ride,50.73,93.25,368.0,32.64,Ride,2022-05-19 07:55:45,> 30 km/h,Advanced,0.22330097087378642,0.31409620629804114,0.6456944814716076,0.33501824362062704
Morning Ride ,88.55,152.45,601.0,34.86,Ride,2022-05-06 07:36:37,> 30 km/h,Advanced,0.36468446601941745,0.548537069179271,0.7048786990135963,0.4878790935662093
Morning Ride,34.6,121.22,511.0,17.12,Ride,2022-04-30 06:29:36,< 20 km/h,Beginner,0.3100728155339806,0.2141086040168609,0.23193814982671293,0.2656566189373911
SANTA CRUZ,20.66,84.1,99.0,14.74,Ride,2022-04-29 16:58:28,< 20 km/h,Beginner,0.060072815533980584,0.12769650384329284,0.16848840309250868,0.10204303953847987
Afternoon Ride,2.85,12.02,20.0,14.26,Ride,2022-04-29 14:38:31,< 20 km/h,Beginner,0.012135922330097087,0.01729481775353335,0.15569181551586245,0.04239476959428104
Morning Ride,2.03,4.47,4.0,27.29,Ride,2022-04-25 08:27:14,20–30 km/h,Intermediate,0.0024271844660194173,0.01221175303744111,0.5030658491069048,0.10549028796562301
Morning Ride,34.87,60.53,186.0,34.57,Ride,2022-04-25 07:18:48,> 30 km/h,Advanced,0.11286407766990292,0.21578229605752539,0.697147427352706,0.2605962131227503
Morning Ride,55.33,120.42,498.0,27.57,Ride,2022-04-23 08:00:16,20–30 km/h,Intermediate,0.30218446601941745,0.3426109595834366,0.5105305251932818,0.35598162592339605
Morning Ride,99.39,184.5,403.0,32.33,Ride,2022-04-16 08:00:43,> 30 km/h,Advanced,0.2445388349514563,0.6157327051822464,0.6374300186616901,0.43447523276274014
Morning Ride,47.94,116.37,693.0,24.72,Ride,2022-04-15 08:02:10,20–30 km/h,Intermediate,0.4205097087378641,0.29680138854450777,0.4345507864569448,0.3862054282236733
Morning Ride,53.74,121.18,266.0,26.6,Ride,2022-04-11 07:02:02,20–30 km/h,Intermediate,0.16140776699029127,0.3327547731217456,0.4846707544654759,0.2774644663247645
Morning Ride,64.7,130.55,923.0,29.74,Ride,2022-04-09 07:35:37,20–30 km/h,Intermediate,0.5600728155339806,0.4006942722539053,0.5683817648627033,0.5139210424157026
Evening Ride,4.31,21.53,43.0,12.02,Ride,2022-04-06 19:03:25,< 20 km/h,Beginner,0.026092233009708737,0.026345152491941484,0.0959744068248467,0.04014454361740616
Morning Ride ,59.18,120.95,365.0,29.35,Ride,2022-04-04 07:38:04,20–30 km/h,Intermediate,0.22148058252427186,0.3664765683114307,0.5579845374566782,0.3322801692469008
Morning 🛳,41.81,90.52,173.0,27.71,Ride,2022-04-01 07:01:54,20–30 km/h,Intermediate,0.1049757281553398,0.2588023803620134,0.5142628632364703,0.23298115083356802
Morning Ride,60.96,129.42,919.0,28.26,Ride,2022-03-30 07:46:17,20–30 km/h,Intermediate,0.5576456310679612,0.37751053806099677,0.5289256198347109,0.49786110091922176
Midterm season and new job training is killing me ,6.71,28.93,29.0,13.9,Ride,2022-03-24 18:49:52,< 20 km/h,Beginner,0.017597087378640776,0.04122241507562609,0.14609437483337778,0.05038414317868377
Morning Ride,82.09,182.3,495.0,27.02,Ride,2022-03-19 07:48:45,20–30 km/h,Intermediate,0.3003640776699029,0.50849243739152,0.4958677685950414,0.4019033237714157
Morning Ride,97.48,189.95,386.0,30.79,Ride,2022-03-12 07:03:34,> 30 km/h,Advanced,0.2342233009708738,0.6038928837093975,0.5963743001866169,0.4175543756355795
Morning Ride,42.89,82.57,219.0,31.17,Ride,2022-03-09 07:23:34,> 30 km/h,Advanced,0.1328883495145631,0.26549714852467143,0.6065049320181285,0.2673943057183087
Lunch Ride,2.46,7.08,9.0,20.84,Ride,2022-03-05 11:16:42,20–30 km/h,Intermediate,0.0054611650485436895,0.014877262583684603,0.33111170354572117,0.07341610200852146
Morning Ride ,72.52,131.95,338.0,32.98,Ride,2022-03-05 08:57:57,> 30 km/h,Advanced,0.20509708737864077,0.4491693528390776,0.6547587310050652,0.3682510957420567
Morning Ride,32.4,70.13,112.0,27.71,Ride,2022-03-02 07:31:09,20–30 km/h,Intermediate,0.06796116504854369,0.20047111331515,0.5142628632364703,0.1969744891661109
Morning Ride,59.88,141.0,1042.0,25.48,Ride,2022-02-25 08:39:35,20–30 km/h,Intermediate,0.6322815533980582,0.3708157698983387,0.4548120501199681,0.5183479176925243
Morning Ride,29.68,72.0,78.0,24.74,Ride,2022-02-19 09:19:07,20–30 km/h,Intermediate,0.04733009708737864,0.18361021572030747,0.4350839776059718,0.16576490878097594
Morning Ride,57.26,123.72,437.0,27.78,Ride,2022-02-11 07:04:09,20–30 km/h,Intermediate,0.2651699029126214,0.354574758244483,0.5161290322580645,0.34218318538126846
Morning Ride,63.63,133.35,281.0,28.63,Ride,2022-02-05 06:50:24,20–30 km/h,Intermediate,0.17050970873786409,0.3940614926853459,0.5387896560917089,0.3112312333928776
Morning Ride,66.92,146.05,416.0,27.49,Ride,2022-01-31 07:35:15,20–30 km/h,Intermediate,0.2524271844660194,0.41445574014381353,0.5083977605971741,0.3522298663955886
Afternoon Ride,2.27,10.58,13.0,12.87,Ride,2022-01-30 17:21:36,< 20 km/h,Beginner,0.007888349514563107,0.013699479295809572,0.11863503065849106,0.03178102467772264
Morning Ride,26.68,59.95,75.0,26.7,Ride,2022-01-29 08:06:00,20–30 km/h,Intermediate,0.04550970873786408,0.16501363749070172,0.48733671021061054,0.16972628765826467
Morning Ride,2.93,6.58,7.0,26.65,Ride,2022-01-19 09:57:02,20–30 km/h,Intermediate,0.00424757281553398,0.017790726506322838,0.4860037323380431,0.10466175082727247
Morning Ride,46.93,90.37,314.0,31.16,Ride,2022-01-19 08:16:44,> 30 km/h,Advanced,0.19053398058252427,0.2905405405405405,0.6062383364436151,0.30367681974214733
Morning Ride,65.0,146.73,548.0,26.59,Ride,2022-01-15 08:00:21,20–30 km/h,Intermediate,0.3325242718446602,0.40255393007686585,0.4844041588909625,0.38390914672358234
Afternoon Ride,49.29,126.97,670.0,23.3,Ride,2022-01-12 14:59:34,20–30 km/h,Intermediate,0.4065533980582524,0.3051698487478304,0.3966942148760331,0.37416649662868195
Morning Ride,18.25,45.4,64.0,24.12,Ride,2021-12-29 09:59:02,20–30 km/h,Intermediate,0.038834951456310676,0.11275725266550955,0.41855505198613707,0.1369556619250356
Morning Ride,27.58,61.72,93.0,26.83,Ride,2021-12-25 09:58:04,20–30 km/h,Intermediate,0.05643203883495146,0.17059261095958345,0.49080245267928546,0.17755429324120786
Morning Ride,69.54,150.65,548.0,27.7,Ride,2021-12-20 10:03:33,20–30 km/h,Intermediate,0.3325242718446602,0.43069675179766925,0.5139962676619568,0.39827041499402227
Morning Ride,66.82,139.72,252.0,28.69,Ride,2021-12-18 09:20:47,20–30 km/h,Intermediate,0.1529126213592233,0.41383585420282665,0.5403892295387898,0.3086849128482176
Lunch Ride,29.03,61.4,86.0,28.37,Ride,2021-12-12 11:05:06,20–30 km/h,Intermediate,0.05218446601941747,0.1795809571038929,0.531858171154359,0.1863381543717484
Chill Bill vol 1 ,55.84,121.7,435.0,27.54,Ride,2021-12-11 08:37:44,20–30 km/h,Intermediate,0.26395631067961167,0.3457723778824697,0.5097307384697414,0.337656016398495
Morning Ride,28.28,61.9,92.0,27.41,Ride,2021-12-03 07:04:10,20–30 km/h,Intermediate,0.055825242718446605,0.17493181254649146,0.5062649960010664,0.18164516432338404
Night Ride,1.61,10.0,0.0,9.66,Ride,2021-11-29 22:05:54,< 20 km/h,Beginner,0.0,0.009608232085296306,0.03305785123966943,0.009494039873522778
Lunch Ride,1.61,5.0,0.0,19.31,Ride,2021-11-29 11:58:38,< 20 km/h,Beginner,0.0,0.009608232085296306,0.29032258064516125,0.060946985754621145
Afternoon Ride,6.26,22.7,49.0,16.56,Ride,2021-11-26 15:54:15,< 20 km/h,Beginner,0.029733009708737865,0.038432928341185224,0.21700879765395892,0.06979814288751629
Morning Ride,32.32,78.98,485.0,24.56,Ride,2021-11-26 10:07:52,20–30 km/h,Intermediate,0.2942961165048544,0.1999752045623605,0.43028525726472944,0.29319767107408123
Morning Ride,1.08,4.08,7.0,15.9,Ride,2021-11-26 06:59:30,< 20 km/h,Beginner,0.00424757281553398,0.006322836598065956,0.1994134897360704,0.043903335334400856
Morning Ride,29.02,61.25,99.0,28.44,Ride,2021-11-24 10:08:01,20–30 km/h,Intermediate,0.060072815533980584,0.1795189685097942,0.5337243401759532,0.19063696635511918
Morning Ride,18.31,60.52,444.0,18.17,Ride,2021-11-20 06:35:49,< 20 km/h,Beginner,0.26941747572815533,0.11312918423010167,0.25993068515062656,0.22063363016323348
Afternoon Ride,3.33,18.93,64.0,10.54,Ride,2021-11-19 16:11:02,< 20 km/h,Beginner,0.038834951456310676,0.02027027027027027,0.05651826179685415,0.03680220916860725
Morning Ride,65.36,125.57,351.0,31.22,Ride,2021-11-17 06:45:14,> 30 km/h,Advanced,0.21298543689320387,0.40478551946441854,0.6078379098906957,0.34949595626406665
racing my girlfriend's 4 year old cousin ,14.48,33.33,38.0,26.06,Ride,2021-11-14 15:48:38,20–30 km/h,Intermediate,0.023058252427184466,0.08938755269030499,0.47027459344174893,0.13240031070903352
Morning Ride,71.73,138.93,173.0,30.98,Ride,2021-11-13 08:26:16,> 30 km/h,Advanced,0.1049757281553398,0.44427225390528147,0.6014396161023728,0.3060574634697289
Afternoon Ride,5.15,24.25,0.0,12.75,Ride,2021-11-10 16:41:44,< 20 km/h,Beginner,0.0,0.0315521943962311,0.11543588376432952,0.03255283507173524
Morning Ride,64.99,141.33,345.0,27.58,Ride,2021-11-10 06:32:24,20–30 km/h,Intermediate,0.20934466019417475,0.4024919414827671,0.5107971207677952,0.32757933669547656
Morning Ride,26.92,62.23,79.0,25.96,Ride,2021-11-03 07:01:58,20–30 km/h,Intermediate,0.047936893203883495,0.1665013637490702,0.46760863769661426,0.16744058326598565
Morning Ride,98.33,198.83,733.0,29.68,Ride,2021-10-30 07:11:46,20–30 km/h,Intermediate,0.44478155339805825,0.6091619142077858,0.5667821914156225,0.5184957892444894
Morning Ride,56.54,121.63,317.0,27.89,Ride,2021-10-27 07:02:47,20–30 km/h,Intermediate,0.19235436893203883,0.35011157946937765,0.5190615835777126,0.30502297502237524
Morning Ride,28.65,62.45,87.0,27.52,Ride,2021-10-23 07:04:03,20–30 km/h,Intermediate,0.05279126213592233,0.17722539052814282,0.5091975473207145,0.18140275769054692
Morning Ride,58.32,122.93,309.0,28.47,Ride,2021-10-20 06:59:09,20–30 km/h,Intermediate,0.1875,0.3611455492189437,0.5345241268994935,0.3089984901455818
Morning Ride,10.14,23.62,40.0,25.75,Ride,2021-10-19 09:21:54,20–30 km/h,Intermediate,0.024271844660194174,0.06248450285147533,0.4620101306318315,0.12328329931190599
Lunch Ride,5.5,20.32,23.0,16.25,Ride,2021-10-18 11:30:01,< 20 km/h,Beginner,0.013956310679611651,0.0337217951896851,0.2087443348440416,0.05884356086551967
